Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
10/7/2015,Vancouver Canucks,5,Calgary Flames,1,,19289,152
10/7/2015,New York Rangers,3,Chicago Blackhawks,2,,22104,148
10/7/2015,San Jose Sharks,5,Los Angeles Kings,1,,18230,160
10/7/2015,Montreal Canadiens,3,Toronto Maple Leafs,1,,19241,156
10/8/2015,Winnipeg Jets,6,Boston Bruins,2,,17565,146
10/8/2015,Ottawa Senators,3,Buffalo Sabres,1,,19070,157
10/8/2015,Minnesota Wild,5,Colorado Avalanche,4,,18007,156
10/8/2015,Pittsburgh Penguins,0,Dallas Stars,3,,18532,161
10/8/2015,Carolina Hurricanes,1,Nashville Predators,2,,17204,145
10/8/2015,Edmonton Oilers,1,St. Louis Blues,3,,19327,145
10/8/2015,Philadelphia Flyers,2,Tampa Bay Lightning,3,OT,19092,154
10/9/2015,New York Rangers,4,Columbus Blue Jackets,2,,19027,151
10/9/2015,Toronto Maple Leafs,0,Detroit Red Wings,4,,20027,153
10/9/2015,Arizona Coyotes,4,Los Angeles Kings,1,,18230,147
10/9/2015,Winnipeg Jets,3,New Jersey Devils,1,,14579,146
10/9/2015,Chicago Blackhawks,3,New York Islanders,2,OT,15795,157
10/10/2015,Pittsburgh Penguins,1,Arizona Coyotes,2,,17125,150
10/10/2015,Montreal Canadiens,4,Boston Bruins,2,,17565,170
10/10/2015,Tampa Bay Lightning,4,Buffalo Sabres,1,,17739,147
10/10/2015,Detroit Red Wings,4,Carolina Hurricanes,3,,18949,149
10/10/2015,New York Islanders,1,Chicago Blackhawks,4,,21392,143
10/10/2015,Dallas Stars,3,Colorado Avalanche,6,,16024,151
10/10/2015,Philadelphia Flyers,1,Florida Panthers,7,,19434,157
10/10/2015,St. Louis Blues,2,Minnesota Wild,3,,19096,147
10/10/2015,Edmonton Oilers,0,Nashville Predators,2,,17113,152
10/10/2015,Columbus Blue Jackets,2,New York Rangers,5,,18006,153
10/10/2015,Anaheim Ducks,0,San Jose Sharks,2,,17562,145
10/10/2015,Ottawa Senators,5,Toronto Maple Leafs,4,SO,19187,173
10/10/2015,Calgary Flames,3,Vancouver Canucks,2,OT,18570,156
10/10/2015,New Jersey Devils,3,Washington Capitals,5,,18506,155
10/11/2015,Montreal Canadiens,3,Ottawa Senators,1,,19177,160
10/12/2015,Vancouver Canucks,2,Anaheim Ducks,1,SO,17174,145
10/12/2015,Tampa Bay Lightning,6,Boston Bruins,3,,17565,150
10/12/2015,Columbus Blue Jackets,2,Buffalo Sabres,4,,18075,147
10/12/2015,Winnipeg Jets,2,New York Islanders,4,,11183,157
10/12/2015,Florida Panthers,0,Philadelphia Flyers,1,,19769,149
10/13/2015,Florida Panthers,4,Carolina Hurricanes,1,,10901,134
10/13/2015,St. Louis Blues,4,Calgary Flames,3,,18632,143
10/13/2015,Edmonton Oilers,2,Dallas Stars,4,,16265,150
10/13/2015,Tampa Bay Lightning,1,Detroit Red Wings,3,,20027,147
10/13/2015,Vancouver Canucks,3,Los Angeles Kings,0,,18230,143
10/13/2015,Nashville Predators,3,New Jersey Devils,1,,11117,147
10/13/2015,Winnipeg Jets,4,New York Rangers,1,,18006,143
10/13/2015,Montreal Canadiens,3,Pittsburgh Penguins,2,,18626,143
10/13/2015,San Jose Sharks,5,Washington Capitals,0,,18506,153
10/14/2015,Arizona Coyotes,4,Anaheim Ducks,0,,15172,153
10/14/2015,Ottawa Senators,7,Columbus Blue Jackets,3,,13803,151
10/14/2015,Boston Bruins,6,Colorado Avalanche,2,,15082,137
10/14/2015,Chicago Blackhawks,0,Philadelphia Flyers,3,,19779,145
10/15/2015,Minnesota Wild,4,Arizona Coyotes,3,,12029,164
10/15/2015,St. Louis Blues,4,Edmonton Oilers,2,,16839,147
10/15/2015,Buffalo Sabres,2,Florida Panthers,3,,11616,156
10/15/2015,New York Rangers,0,Montreal Canadiens,3,,21288,157
10/15/2015,Nashville Predators,3,New York Islanders,4,,10542,152
10/15/2015,Ottawa Senators,0,Pittsburgh Penguins,2,,18486,149
10/15/2015,Dallas Stars,5,Tampa Bay Lightning,3,,19092,151
10/15/2015,Chicago Blackhawks,1,Washington Capitals,4,,18506,137
10/16/2015,Colorado Avalanche,3,Anaheim Ducks,0,,17174,149
10/16/2015,Toronto Maple Leafs,6,Columbus Blue Jackets,3,,13885,157
10/16/2015,Carolina Hurricanes,5,Detroit Red Wings,3,,20027,142
10/16/2015,Minnesota Wild,1,Los Angeles Kings,2,OT,18230,154
10/16/2015,San Jose Sharks,2,New Jersey Devils,1,SO,12464,157
10/16/2015,St. Louis Blues,4,Vancouver Canucks,3,,18362,144
10/16/2015,Calgary Flames,1,Winnipeg Jets,3,,15294,148
10/17/2015,Boston Bruins,5,Arizona Coyotes,3,,13411,155
10/17/2015,Edmonton Oilers,5,Calgary Flames,2,,19289,156
10/17/2015,Columbus Blue Jackets,1,Chicago Blackhawks,4,,21563,139
10/17/2015,Dallas Stars,4,Florida Panthers,2,,12834,150
10/17/2015,Detroit Red Wings,1,Montreal Canadiens,4,,21288,155
10/17/2015,San Jose Sharks,3,New York Islanders,6,,11577,157
10/17/2015,Nashville Predators,4,Ottawa Senators,3,SO,16895,170
10/17/2015,Toronto Maple Leafs,1,Pittsburgh Penguins,2,,18650,150
10/17/2015,Buffalo Sabres,1,Tampa Bay Lightning,2,,19092,147
10/17/2015,Carolina Hurricanes,1,Washington Capitals,4,,18506,146
10/18/2015,Minnesota Wild,1,Anaheim Ducks,4,,16784,154
10/18/2015,Colorado Avalanche,1,Los Angeles Kings,2,,18230,154
10/18/2015,New Jersey Devils,2,New York Rangers,1,OT,18006,143
10/18/2015,Edmonton Oilers,2,Vancouver Canucks,1,OT,18261,141
10/18/2015,St. Louis Blues,4,Winnipeg Jets,2,,15294,208
10/19/2015,San Jose Sharks,0,New York Rangers,4,,18006,139
10/20/2015,New York Islanders,4,Columbus Blue Jackets,0,,14295,148
10/20/2015,Washington Capitals,6,Calgary Flames,2,,18303,148
10/20/2015,St. Louis Blues,0,Montreal Canadiens,3,,21288,160
10/20/2015,Arizona Coyotes,2,New Jersey Devils,3,OT,12171,152
10/20/2015,Tampa Bay Lightning,4,Nashville Predators,5,SO,17113,163
10/20/2015,Dallas Stars,2,Philadelphia Flyers,1,,19077,155
10/20/2015,Florida Panthers,2,Pittsburgh Penguins,3,OT,18471,165
10/21/2015,Philadelphia Flyers,5,Boston Bruins,4,OT,17565,153
10/21/2015,Toronto Maple Leafs,1,Buffalo Sabres,2,SO,17762,167
10/21/2015,Carolina Hurricanes,1,Colorado Avalanche,0,OT,12826,144
10/21/2015,Detroit Red Wings,1,Edmonton Oilers,3,,16839,145
10/22/2015,Florida Panthers,2,Chicago Blackhawks,3,,21591,154
10/22/2015,Columbus Blue Jackets,2,Minnesota Wild,3,,18650,151
10/22/2015,Anaheim Ducks,1,Nashville Predators,5,,17113,148
10/22/2015,Arizona Coyotes,1,New York Rangers,4,,18006,158
10/22/2015,New Jersey Devils,5,Ottawa Senators,4,SO,16578,161
10/22/2015,Dallas Stars,4,Pittsburgh Penguins,1,,18490,152
10/22/2015,Los Angeles Kings,4,San Jose Sharks,1,,16797,159
10/22/2015,Washington Capitals,3,Vancouver Canucks,2,,18188,137
10/23/2015,Montreal Canadiens,7,Buffalo Sabres,2,,18214,148
10/23/2015,Detroit Red Wings,2,Calgary Flames,3,OT,19158,157
10/23/2015,Washington Capitals,7,Edmonton Oilers,4,,16839,148
10/23/2015,Carolina Hurricanes,0,Los Angeles Kings,3,,18230,151
10/23/2015,Boston Bruins,5,New York Islanders,3,,13113,165
10/23/2015,Tampa Bay Lightning,4,Winnipeg Jets,3,OT,15294,151
10/24/2015,New Jersey Devils,4,Buffalo Sabres,3,,18040,151
10/24/2015,Tampa Bay Lightning,0,Chicago Blackhawks,1,OT,21822,143
10/24/2015,Columbus Blue Jackets,4,Colorado Avalanche,3,,18007,150
10/24/2015,Florida Panthers,6,Dallas Stars,2,,18532,154
10/24/2015,Anaheim Ducks,0,Minnesota Wild,3,,19034,149
10/24/2015,Toronto Maple Leafs,3,Montreal Canadiens,5,,21288,163
10/24/2015,Pittsburgh Penguins,2,Nashville Predators,1,OT,17163,149
10/24/2015,Arizona Coyotes,4,Ottawa Senators,1,,17270,149
10/24/2015,New York Rangers,2,Philadelphia Flyers,3,SO,19805,172
10/24/2015,Carolina Hurricanes,2,San Jose Sharks,5,,15814,144
10/24/2015,New York Islanders,3,St. Louis Blues,2,OT,19186,151
10/24/2015,Detroit Red Wings,3,Vancouver Canucks,2,OT,18312,158
10/25/2015,Los Angeles Kings,3,Edmonton Oilers,2,,16839,147
10/25/2015,Calgary Flames,1,New York Rangers,4,,18006,138
10/25/2015,Minnesota Wild,4,Winnipeg Jets,5,,15294,154
10/26/2015,Anaheim Ducks,0,Chicago Blackhawks,1,OT,21529,156
10/26/2015,Calgary Flames,0,New York Islanders,4,,11582,146
10/26/2015,Arizona Coyotes,4,Toronto Maple Leafs,3,,18944,168
10/27/2015,Arizona Coyotes,0,Boston Bruins,6,,17565,154
10/27/2015,Anaheim Ducks,3,Dallas Stars,4,,17798,152
10/27/2015,Carolina Hurricanes,3,Detroit Red Wings,1,,20027,139
10/27/2015,Colorado Avalanche,1,Florida Panthers,4,,11694,146
10/27/2015,Edmonton Oilers,3,Minnesota Wild,4,,18936,143
10/27/2015,Columbus Blue Jackets,3,New Jersey Devils,1,,12847,137
10/27/2015,Buffalo Sabres,4,Philadelphia Flyers,3,OT,19432,157
10/27/2015,Tampa Bay Lightning,0,St. Louis Blues,2,,19184,144
10/27/2015,Montreal Canadiens,1,Vancouver Canucks,5,,18570,143
10/27/2015,Los Angeles Kings,4,Winnipeg Jets,1,,15294,140
10/28/2015,Calgary Flames,4,Ottawa Senators,5,SO,16923,173
10/28/2015,Nashville Predators,2,San Jose Sharks,1,,15219,144
10/28/2015,Pittsburgh Penguins,3,Washington Capitals,1,,18506,147
10/29/2015,Vancouver Canucks,3,Dallas Stars,4,OT,17664,152
10/29/2015,Montreal Canadiens,3,Edmonton Oilers,4,,16839,157
10/29/2015,Carolina Hurricanes,3,New York Islanders,2,OT,11494,151
10/29/2015,New Jersey Devils,4,Philadelphia Flyers,1,,19241,152
10/29/2015,Buffalo Sabres,3,Pittsburgh Penguins,4,,18415,148
10/29/2015,Anaheim Ducks,1,St. Louis Blues,2,,16904,150
10/29/2015,Colorado Avalanche,2,Tampa Bay Lightning,1,,19092,148
10/29/2015,Chicago Blackhawks,1,Winnipeg Jets,3,,15294,152
10/30/2015,Vancouver Canucks,4,Arizona Coyotes,3,,12166,142
10/30/2015,Philadelphia Flyers,1,Buffalo Sabres,3,,15962,157
10/30/2015,Colorado Avalanche,2,Carolina Hurricanes,3,,9345,142
10/30/2015,Montreal Canadiens,6,Calgary Flames,2,,19289,156
10/30/2015,Ottawa Senators,3,Detroit Red Wings,1,,20027,156
10/30/2015,Boston Bruins,3,Florida Panthers,1,,14112,150
10/30/2015,Chicago Blackhawks,4,Minnesota Wild,5,,19140,163
10/30/2015,Toronto Maple Leafs,1,New York Rangers,3,,18006,150
10/30/2015,Columbus Blue Jackets,1,Washington Capitals,2,,18506,147
10/31/2015,Winnipeg Jets,3,Columbus Blue Jackets,2,,12860,149
10/31/2015,San Jose Sharks,3,Dallas Stars,5,,18178,153
10/31/2015,Calgary Flames,5,Edmonton Oilers,4,,16839,159
10/31/2015,Washington Capitals,2,Florida Panthers,1,OT,11207,154
10/31/2015,Nashville Predators,3,Los Angeles Kings,4,OT,18230,149
10/31/2015,New York Islanders,2,New Jersey Devils,3,SO,11605,150
10/31/2015,Detroit Red Wings,5,Ottawa Senators,3,,16964,160
10/31/2015,Minnesota Wild,2,St. Louis Blues,3,OT,17728,181
10/31/2015,Boston Bruins,3,Tampa Bay Lightning,1,,19092,146
10/31/2015,Pittsburgh Penguins,4,Toronto Maple Leafs,0,,19197,150
11/1/2015,Nashville Predators,2,Anaheim Ducks,4,,16276,152
11/1/2015,Tampa Bay Lightning,4,Carolina Hurricanes,3,,9081,143
11/1/2015,San Jose Sharks,4,Colorado Avalanche,3,,17128,151
11/1/2015,Winnipeg Jets,1,Montreal Canadiens,5,,21288,151
11/1/2015,Buffalo Sabres,2,New York Islanders,1,,11278,138
11/2/2015,Los Angeles Kings,2,Chicago Blackhawks,4,,21534,148
11/2/2015,Dallas Stars,1,Toronto Maple Leafs,4,,19087,171
11/2/2015,Philadelphia Flyers,1,Vancouver Canucks,4,,18264,149
11/3/2015,Dallas Stars,5,Boston Bruins,3,,17565,153
11/3/2015,Calgary Flames,3,Colorado Avalanche,6,,14408,151
11/3/2015,Tampa Bay Lightning,1,Detroit Red Wings,2,,20027,152
11/3/2015,Philadelphia Flyers,2,Edmonton Oilers,4,,16839,148
11/3/2015,Ottawa Senators,2,Montreal Canadiens,1,OT,21288,152
11/3/2015,New Jersey Devils,1,New York Islanders,2,,12122,147
11/3/2015,Washington Capitals,2,New York Rangers,5,,18006,146
11/3/2015,Columbus Blue Jackets,5,San Jose Sharks,2,,15491,150
11/3/2015,Los Angeles Kings,3,St. Louis Blues,0,,17529,155
11/4/2015,Florida Panthers,2,Anaheim Ducks,3,SO,15169,169
11/4/2015,St. Louis Blues,6,Chicago Blackhawks,5,OT,21676,165
11/4/2015,Winnipeg Jets,4,Toronto Maple Leafs,2,,19113,152
11/4/2015,Pittsburgh Penguins,3,Vancouver Canucks,2,,18570,151
11/5/2015,Colorado Avalanche,2,Arizona Coyotes,4,,10270,157
11/5/2015,Tampa Bay Lightning,4,Buffalo Sabres,1,,18161,139
11/5/2015,Philadelphia Flyers,1,Calgary Flames,2,OT,19289,153
11/5/2015,Columbus Blue Jackets,3,Los Angeles Kings,2,,18230,157
11/5/2015,Nashville Predators,3,Minnesota Wild,2,,19024,160
11/5/2015,New York Islanders,1,Montreal Canadiens,4,,21288,144
11/5/2015,Winnipeg Jets,2,Ottawa Senators,3,SO,17195,163
11/5/2015,Florida Panthers,2,San Jose Sharks,5,,15525,149
11/5/2015,Boston Bruins,1,Washington Capitals,4,,18506,155
11/6/2015,Columbus Blue Jackets,2,Anaheim Ducks,4,,17174,146
11/6/2015,Dallas Stars,4,Carolina Hurricanes,1,,10188,152
11/6/2015,New York Rangers,2,Colorado Avalanche,1,,17818,143
11/6/2015,Pittsburgh Penguins,2,Edmonton Oilers,1,,16839,153
11/6/2015,Chicago Blackhawks,2,New Jersey Devils,4,,16514,158
11/6/2015,Detroit Red Wings,2,Toronto Maple Leafs,1,OT,19680,160
11/7/2015,New York Rangers,4,Arizona Coyotes,1,,13029,151
11/7/2015,Vancouver Canucks,2,Buffalo Sabres,3,,19070,146
11/7/2015,Ottawa Senators,2,Carolina Hurricanes,3,OT,10005,153
11/7/2015,Pittsburgh Penguins,2,Calgary Flames,5,,19289,151
11/7/2015,Florida Panthers,1,Los Angeles Kings,4,,18230,152
11/7/2015,Tampa Bay Lightning,0,Minnesota Wild,1,,19066,140
11/7/2015,Boston Bruins,2,Montreal Canadiens,4,,21288,166
11/7/2015,St. Louis Blues,4,Nashville Predators,0,,17143,146
11/7/2015,Anaheim Ducks,1,San Jose Sharks,0,,17562,152
11/7/2015,Philadelphia Flyers,3,Winnipeg Jets,0,,15294,147
11/7/2015,Toronto Maple Leafs,2,Washington Capitals,3,SO,18506,172
11/8/2015,Edmonton Oilers,2,Chicago Blackhawks,4,,21611,153
11/8/2015,Dallas Stars,4,Detroit Red Wings,1,,20027,151
11/8/2015,Vancouver Canucks,3,New Jersey Devils,4,OT,14896,174
11/8/2015,Boston Bruins,2,New York Islanders,1,,13197,150
11/9/2015,Arizona Coyotes,4,Anaheim Ducks,3,OT,13864,150
11/10/2015,Vancouver Canucks,5,Columbus Blue Jackets,3,,14148,147
11/10/2015,Toronto Maple Leafs,3,Dallas Stars,2,,18266,151
11/10/2015,Washington Capitals,0,Detroit Red Wings,1,,20027,141
11/10/2015,Calgary Flames,3,Florida Panthers,4,,11242,144
11/10/2015,Arizona Coyotes,3,Los Angeles Kings,2,,18230,146
11/10/2015,Winnipeg Jets,3,Minnesota Wild,5,,19153,151
11/10/2015,St. Louis Blues,2,New Jersey Devils,0,,13310,138
11/10/2015,Ottawa Senators,5,Nashville Predators,7,,16963,161
11/10/2015,Carolina Hurricanes,0,New York Rangers,3,,18006,147
11/10/2015,Colorado Avalanche,4,Philadelphia Flyers,0,,18587,145
11/10/2015,New York Islanders,4,San Jose Sharks,2,,16558,147
11/10/2015,Buffalo Sabres,4,Tampa Bay Lightning,1,,19092,145
11/11/2015,Edmonton Oilers,4,Anaheim Ducks,3,OT,16505,150
11/11/2015,Montreal Canadiens,3,Pittsburgh Penguins,4,SO,18455,164
11/12/2015,Edmonton Oilers,1,Arizona Coyotes,4,,15545,146
11/12/2015,Colorado Avalanche,3,Boston Bruins,2,,17565,154
11/12/2015,Minnesota Wild,3,Carolina Hurricanes,2,OT,9511,153
11/12/2015,New Jersey Devils,3,Chicago Blackhawks,2,,21568,138
11/12/2015,Winnipeg Jets,3,Dallas Stars,6,,18010,149
11/12/2015,Buffalo Sabres,3,Florida Panthers,2,,11271,152
11/12/2015,New York Islanders,1,Los Angeles Kings,2,,18230,147
11/12/2015,Toronto Maple Leafs,2,Nashville Predators,1,SO,17231,157
11/12/2015,St. Louis Blues,3,New York Rangers,6,,18006,146
11/12/2015,Vancouver Canucks,2,Ottawa Senators,3,,19229,143
11/12/2015,Washington Capitals,5,Philadelphia Flyers,2,,19414,154
11/12/2015,Calgary Flames,1,Tampa Bay Lightning,3,,19092,160
11/13/2015,New York Islanders,4,Anaheim Ducks,1,,17174,148
11/13/2015,San Jose Sharks,3,Detroit Red Wings,2,,20027,137
11/13/2015,Columbus Blue Jackets,2,Pittsburgh Penguins,1,,18610,160
11/13/2015,Calgary Flames,3,Washington Capitals,2,OT,18506,155
11/14/2015,Detroit Red Wings,1,Boston Bruins,3,,17565,144
11/14/2015,San Jose Sharks,2,Buffalo Sabres,1,OT,18611,153
11/14/2015,Philadelphia Flyers,3,Carolina Hurricanes,2,OT,13758,141
11/14/2015,Arizona Coyotes,2,Columbus Blue Jackets,5,,13702,158
11/14/2015,Minnesota Wild,2,Dallas Stars,3,OT,18532,160
11/14/2015,Edmonton Oilers,3,Los Angeles Kings,4,,18230,148
11/14/2015,Colorado Avalanche,6,Montreal Canadiens,1,,21288,143
11/14/2015,Pittsburgh Penguins,0,New Jersey Devils,4,,16514,149
11/14/2015,Winnipeg Jets,0,Nashville Predators,7,,17113,162
11/14/2015,New York Rangers,2,Ottawa Senators,1,SO,19310,153
11/14/2015,Chicago Blackhawks,4,St. Louis Blues,2,,19808,160
11/14/2015,Florida Panthers,5,Tampa Bay Lightning,4,SO,19092,173
11/14/2015,Vancouver Canucks,2,Toronto Maple Leafs,4,,19798,161
11/15/2015,Calgary Flames,1,Chicago Blackhawks,4,,21629,143
11/15/2015,Toronto Maple Leafs,3,New York Rangers,4,,18006,158
11/16/2015,Anaheim Ducks,4,Carolina Hurricanes,1,,9305,142
11/16/2015,Tampa Bay Lightning,0,Florida Panthers,1,,12067,146
11/16/2015,Vancouver Canucks,3,Montreal Canadiens,4,OT,21288,157
11/16/2015,Arizona Coyotes,2,New York Islanders,5,,11841,144
11/16/2015,Detroit Red Wings,4,Ottawa Senators,3,OT,16718,156
11/16/2015,Winnipeg Jets,2,St. Louis Blues,3,,18680,153
11/17/2015,San Jose Sharks,5,Boston Bruins,4,,17565,152
11/17/2015,Dallas Stars,3,Buffalo Sabres,1,,18101,156
11/17/2015,St. Louis Blues,1,Columbus Blue Jackets,3,,12161,147
11/17/2015,New Jersey Devils,2,Calgary Flames,3,,19289,147
11/17/2015,Anaheim Ducks,2,Nashville Predators,3,,17113,150
11/17/2015,Los Angeles Kings,3,Philadelphia Flyers,2,SO,18846,156
11/17/2015,Minnesota Wild,3,Pittsburgh Penguins,4,,18495,163
11/17/2015,Colorado Avalanche,1,Toronto Maple Leafs,5,,19238,145
11/18/2015,Washington Capitals,2,Detroit Red Wings,1,OT,20027,146
11/18/2015,Chicago Blackhawks,4,Edmonton Oilers,3,OT,16839,153
11/18/2015,Vancouver Canucks,1,Winnipeg Jets,4,,15294,153
11/19/2015,Minnesota Wild,2,Boston Bruins,4,,17565,149
11/19/2015,Anaheim Ducks,3,Florida Panthers,1,,10947,150
11/19/2015,Arizona Coyotes,3,Montreal Canadiens,2,,21288,157
11/19/2015,Columbus Blue Jackets,0,Ottawa Senators,3,,16925,157
11/19/2015,San Jose Sharks,1,Philadelphia Flyers,0,OT,18229,157
11/19/2015,Colorado Avalanche,3,Pittsburgh Penguins,4,,18430,149
11/19/2015,Buffalo Sabres,2,St. Louis Blues,3,SO,17359,158
11/19/2015,New York Rangers,1,Tampa Bay Lightning,2,,19092,153
11/19/2015,Dallas Stars,3,Washington Capitals,2,,18506,147
11/20/2015,Toronto Maple Leafs,2,Carolina Hurricanes,1,SO,10327,172
11/20/2015,Nashville Predators,0,Columbus Blue Jackets,4,,13584,144
11/20/2015,Chicago Blackhawks,1,Calgary Flames,2,OT,19289,152
11/20/2015,Los Angeles Kings,2,Detroit Red Wings,3,,20027,148
11/20/2015,New Jersey Devils,1,Edmonton Oilers,5,,16839,142
11/20/2015,Montreal Canadiens,5,New York Islanders,3,,15171,155
11/21/2015,Toronto Maple Leafs,0,Boston Bruins,2,,17565,153
11/21/2015,Buffalo Sabres,0,Dallas Stars,3,,18532,145
11/21/2015,New York Rangers,5,Florida Panthers,4,OT,17866,168
11/21/2015,Nashville Predators,0,Minnesota Wild,4,,19056,153
11/21/2015,Philadelphia Flyers,0,Ottawa Senators,4,,18578,149
11/21/2015,San Jose Sharks,3,Pittsburgh Penguins,1,,18534,149
11/21/2015,Detroit Red Wings,4,St. Louis Blues,3,OT,18098,157
11/21/2015,Anaheim Ducks,0,Tampa Bay Lightning,5,,19092,151
11/21/2015,Chicago Blackhawks,3,Vancouver Canucks,6,,18570,144
11/21/2015,Arizona Coyotes,2,Winnipeg Jets,3,,15294,149
11/21/2015,Colorado Avalanche,3,Washington Capitals,7,,18506,154
