Date,Visitor,G,Home,G,OT/SO,Attendance,Length of Game
11/22/2015,Los Angeles Kings,3,Carolina Hurricanes,4,,10154,153
11/22/2015,San Jose Sharks,5,Columbus Blue Jackets,3,,13397,154
11/22/2015,New York Islanders,2,Montreal Canadiens,4,,21288,148
11/22/2015,New Jersey Devils,3,Vancouver Canucks,2,,18268,155
11/23/2015,St. Louis Blues,2,Buffalo Sabres,1,,17563,148
11/23/2015,Los Angeles Kings,3,Florida Panthers,1,,10997,153
11/23/2015,Nashville Predators,0,New York Rangers,3,,18006,149
11/23/2015,Carolina Hurricanes,2,Philadelphia Flyers,3,OT,18636,153
11/23/2015,Boston Bruins,4,Toronto Maple Leafs,3,SO,19609,178
11/23/2015,Colorado Avalanche,4,Winnipeg Jets,1,,15294,139
11/23/2015,Edmonton Oilers,0,Washington Capitals,1,,18506,141
11/24/2015,Calgary Flames,3,Anaheim Ducks,5,,15688,152
11/24/2015,Ottawa Senators,7,Dallas Stars,4,,18532,151
11/25/2015,Anaheim Ducks,2,Arizona Coyotes,4,,11578,152
11/25/2015,Nashville Predators,3,Buffalo Sabres,2,,17871,144
11/25/2015,Edmonton Oilers,1,Carolina Hurricanes,4,,10911,138
11/25/2015,Ottawa Senators,5,Colorado Avalanche,3,,16570,150
11/25/2015,Boston Bruins,3,Detroit Red Wings,2,OT,20027,144
11/25/2015,Vancouver Canucks,3,Minnesota Wild,2,,18877,146
11/25/2015,Columbus Blue Jackets,2,New Jersey Devils,1,,13567,140
11/25/2015,Philadelphia Flyers,1,New York Islanders,3,,13027,144
11/25/2015,Montreal Canadiens,5,New York Rangers,1,,18006,148
11/25/2015,St. Louis Blues,3,Pittsburgh Penguins,4,OT,18569,146
11/25/2015,Chicago Blackhawks,5,San Jose Sharks,2,,17562,145
11/25/2015,Los Angeles Kings,1,Tampa Bay Lightning,2,SO,19092,166
11/25/2015,Winnipeg Jets,3,Washington Capitals,5,,18506,147
11/27/2015,Chicago Blackhawks,3,Anaheim Ducks,2,OT,17174,163
11/27/2015,Calgary Flames,1,Arizona Coyotes,2,OT,11495,152
11/27/2015,New York Rangers,3,Boston Bruins,4,,17565,153
11/27/2015,Carolina Hurricanes,1,Buffalo Sabres,4,,18052,138
11/27/2015,Pittsburgh Penguins,1,Columbus Blue Jackets,2,OT,18205,163
11/27/2015,Vancouver Canucks,2,Dallas Stars,3,SO,18532,161
11/27/2015,Edmonton Oilers,3,Detroit Red Wings,4,OT,20027,147
11/27/2015,New York Islanders,2,Florida Panthers,3,SO,14598,156
11/27/2015,Winnipeg Jets,3,Minnesota Wild,1,,19055,150
11/27/2015,Montreal Canadiens,3,New Jersey Devils,2,SO,16514,166
11/27/2015,Nashville Predators,2,Philadelphia Flyers,3,OT,19818,161
11/27/2015,Tampa Bay Lightning,2,Washington Capitals,4,,18506,158
11/28/2015,Ottawa Senators,3,Arizona Coyotes,4,,12727,154
11/28/2015,Winnipeg Jets,3,Colorado Avalanche,5,,16311,143
11/28/2015,Chicago Blackhawks,2,Los Angeles Kings,3,OT,18482,149
11/28/2015,Dallas Stars,4,Minnesota Wild,3,OT,19024,156
11/28/2015,New Jersey Devils,3,Montreal Canadiens,2,OT,21288,159
11/28/2015,Buffalo Sabres,4,Nashville Predators,1,,17217,156
11/28/2015,Philadelphia Flyers,3,New York Rangers,0,,18006,139
11/28/2015,Edmonton Oilers,3,Pittsburgh Penguins,2,SO,18656,165
11/28/2015,Calgary Flames,2,San Jose Sharks,5,,17283,141
11/28/2015,Columbus Blue Jackets,1,St. Louis Blues,3,,19227,142
11/28/2015,New York Islanders,3,Tampa Bay Lightning,2,,19092,143
11/28/2015,Washington Capitals,4,Toronto Maple Leafs,2,,19053,145
11/29/2015,Florida Panthers,2,Detroit Red Wings,1,OT,20027,158
11/30/2015,Vancouver Canucks,0,Anaheim Ducks,4,,14006,149
11/30/2015,Colorado Avalanche,3,New York Islanders,5,,11585,146
11/30/2015,Carolina Hurricanes,3,New York Rangers,4,,18006,146
11/30/2015,Edmonton Oilers,0,Toronto Maple Leafs,3,,19559,147
12/1/2015,Dallas Stars,3,Calgary Flames,4,SO,19237,152
12/1/2015,Minnesota Wild,2,Chicago Blackhawks,1,,21580,149
12/1/2015,Buffalo Sabres,4,Detroit Red Wings,5,SO,20027,167
12/1/2015,Vancouver Canucks,1,Los Angeles Kings,2,OT,18230,150
12/1/2015,Columbus Blue Jackets,1,Montreal Canadiens,2,,21288,148
12/1/2015,Colorado Avalanche,2,New Jersey Devils,1,,14019,145
12/1/2015,Arizona Coyotes,2,Nashville Predators,5,,15091,148
12/1/2015,Philadelphia Flyers,4,Ottawa Senators,2,,17010,154
12/1/2015,Pittsburgh Penguins,5,San Jose Sharks,1,,16624,147
12/1/2015,Florida Panthers,3,St. Louis Blues,1,,15395,148
12/2/2015,Tampa Bay Lightning,2,Anaheim Ducks,1,,14741,160
12/2/2015,Boston Bruins,2,Edmonton Oilers,3,SO,16839,169
12/2/2015,New York Rangers,1,New York Islanders,2,SO,15795,158
12/2/2015,Toronto Maple Leafs,1,Winnipeg Jets,6,,15294,147
12/3/2015,New Jersey Devils,5,Carolina Hurricanes,1,,9254,155
12/3/2015,Arizona Coyotes,1,Detroit Red Wings,5,,20027,151
12/3/2015,Toronto Maple Leafs,0,Minnesota Wild,1,,18880,146
12/3/2015,Washington Capitals,3,Montreal Canadiens,2,,21288,150
12/3/2015,Florida Panthers,2,Nashville Predators,1,,15405,146
12/3/2015,Colorado Avalanche,2,New York Rangers,1,,18006,139
12/3/2015,Chicago Blackhawks,3,Ottawa Senators,4,OT,17171,161
12/3/2015,Dallas Stars,4,Vancouver Canucks,2,,18302,154
12/4/2015,San Jose Sharks,0,Anaheim Ducks,1,,15701,146
12/4/2015,Arizona Coyotes,2,Buffalo Sabres,5,,18204,154
12/4/2015,Florida Panthers,2,Columbus Blue Jackets,1,SO,14062,163
12/4/2015,Boston Bruins,4,Calgary Flames,5,OT,19289,161
12/4/2015,Dallas Stars,1,Edmonton Oilers,2,OT,16839,144
12/4/2015,Philadelphia Flyers,4,New Jersey Devils,3,OT,14825,154
12/4/2015,St. Louis Blues,1,New York Islanders,2,SO,12873,154
12/5/2015,Montreal Canadiens,2,Carolina Hurricanes,3,,10687,156
12/5/2015,Nashville Predators,4,Detroit Red Wings,5,OT,20027,159
12/5/2015,Pittsburgh Penguins,3,Los Angeles Kings,5,,18230,148
12/5/2015,Colorado Avalanche,0,Minnesota Wild,3,,19173,148
12/5/2015,New York Islanders,2,Ottawa Senators,3,OT,17281,157
12/5/2015,Columbus Blue Jackets,4,Philadelphia Flyers,1,,18202,150
12/5/2015,Tampa Bay Lightning,4,San Jose Sharks,3,,16089,156
12/5/2015,Toronto Maple Leafs,4,St. Louis Blues,1,,18698,151
12/5/2015,Boston Bruins,4,Vancouver Canucks,0,,18570,144
12/5/2015,Washington Capitals,1,Winnipeg Jets,2,OT,15294,166
12/6/2015,Pittsburgh Penguins,1,Anaheim Ducks,2,,15836,149
12/6/2015,Arizona Coyotes,4,Carolina Hurricanes,5,,9021,147
12/6/2015,Winnipeg Jets,1,Chicago Blackhawks,3,,21749,161
12/6/2015,Buffalo Sabres,2,Edmonton Oilers,4,,16839,161
12/6/2015,Tampa Bay Lightning,1,Los Angeles Kings,3,,18230,155
12/6/2015,Florida Panthers,2,New Jersey Devils,4,,13643,148
12/6/2015,Ottawa Senators,1,New York Rangers,4,,18006,150
12/7/2015,Nashville Predators,3,Boston Bruins,2,,17565,156
12/7/2015,Minnesota Wild,1,Colorado Avalanche,2,OT,16589,153
12/7/2015,Buffalo Sabres,2,Vancouver Canucks,5,,18278,148
12/8/2015,Los Angeles Kings,3,Columbus Blue Jackets,2,OT,15633,155
12/8/2015,San Jose Sharks,2,Calgary Flames,4,,19289,159
12/8/2015,Nashville Predators,1,Chicago Blackhawks,4,,21432,146
12/8/2015,Carolina Hurricanes,5,Dallas Stars,6,,18287,154
12/8/2015,Ottawa Senators,4,Florida Panthers,2,,11571,141
12/8/2015,New York Islanders,4,Philadelphia Flyers,3,SO,18108,163
12/8/2015,Arizona Coyotes,1,St. Louis Blues,4,,16301,155
12/8/2015,New Jersey Devils,2,Toronto Maple Leafs,3,SO,19043,166
12/8/2015,Detroit Red Wings,2,Washington Capitals,3,SO,18506,161
12/9/2015,Pittsburgh Penguins,4,Colorado Avalanche,2,,15838,149
12/9/2015,San Jose Sharks,3,Edmonton Oilers,4,OT,16839,160
12/9/2015,Boston Bruins,3,Montreal Canadiens,1,,21288,157
12/9/2015,New York Rangers,1,Vancouver Canucks,2,,18195,148
12/10/2015,Buffalo Sabres,3,Calgary Flames,4,,18565,153
12/10/2015,Montreal Canadiens,2,Detroit Red Wings,3,,20027,154
12/10/2015,Washington Capitals,1,Florida Panthers,4,,12810,167
12/10/2015,Chicago Blackhawks,1,Nashville Predators,5,,17113,151
12/10/2015,Philadelphia Flyers,4,St. Louis Blues,2,,14428,147
12/10/2015,Ottawa Senators,1,Tampa Bay Lightning,4,,19092,152
12/10/2015,Columbus Blue Jackets,4,Winnipeg Jets,6,,15294,154
12/11/2015,Carolina Hurricanes,5,Anaheim Ducks,1,,17174,147
12/11/2015,Minnesota Wild,1,Arizona Coyotes,2,OT,14404,156
12/11/2015,Winnipeg Jets,0,Chicago Blackhawks,2,,22021,142
12/11/2015,Philadelphia Flyers,1,Dallas Stars,3,,18532,155
12/11/2015,New York Rangers,5,Edmonton Oilers,7,,16839,159
12/11/2015,Detroit Red Wings,2,New Jersey Devils,3,OT,16514,154
12/11/2015,Los Angeles Kings,3,Pittsburgh Penguins,2,SO,18489,171
12/12/2015,Carolina Hurricanes,5,Arizona Coyotes,4,OT,12668,154
12/12/2015,Florida Panthers,1,Boston Bruins,3,,17565,151
12/12/2015,Los Angeles Kings,1,Buffalo Sabres,2,OT,18133,152
12/12/2015,New York Islanders,3,Columbus Blue Jackets,2,OT,12342,149
12/12/2015,New York Rangers,4,Calgary Flames,5,OT,19289,152
12/12/2015,Ottawa Senators,1,Montreal Canadiens,3,,21288,156
12/12/2015,Colorado Avalanche,3,Nashville Predators,2,,17113,156
12/12/2015,Minnesota Wild,2,San Jose Sharks,0,,16766,145
12/12/2015,Dallas Stars,0,St. Louis Blues,3,,15023,153
12/12/2015,Washington Capitals,2,Tampa Bay Lightning,1,,19092,152
12/13/2015,Vancouver Canucks,0,Chicago Blackhawks,4,,21711,143
12/13/2015,New Jersey Devils,0,New York Islanders,4,,13259,145
12/13/2015,Colorado Avalanche,3,St. Louis Blues,1,,17961,139
12/14/2015,Edmonton Oilers,3,Boston Bruins,2,OT,17565,158
12/14/2015,Tampa Bay Lightning,2,Columbus Blue Jackets,1,,12494,147
12/14/2015,Buffalo Sabres,2,Detroit Red Wings,1,,20027,146
12/14/2015,Los Angeles Kings,3,Ottawa Senators,5,,17829,152
12/14/2015,Washington Capitals,4,Pittsburgh Penguins,1,,18520,156
12/15/2015,New Jersey Devils,2,Buffalo Sabres,0,,18297,142
12/15/2015,Colorado Avalanche,3,Chicago Blackhawks,0,,21473,144
12/15/2015,Columbus Blue Jackets,1,Dallas Stars,5,,18232,151
12/15/2015,Vancouver Canucks,2,Minnesota Wild,6,,18804,151
12/15/2015,San Jose Sharks,3,Montreal Canadiens,1,,21288,146
12/15/2015,Calgary Flames,2,Nashville Predators,1,OT,15431,146
12/15/2015,Florida Panthers,5,New York Islanders,1,,13656,147
12/15/2015,Edmonton Oilers,2,New York Rangers,4,,18006,141
12/15/2015,Carolina Hurricanes,3,Philadelphia Flyers,4,OT,18205,149
12/15/2015,Tampa Bay Lightning,5,Toronto Maple Leafs,4,OT,18989,158
12/15/2015,St. Louis Blues,4,Winnipeg Jets,3,,15294,146
12/16/2015,Pittsburgh Penguins,0,Boston Bruins,3,,17565,154
12/16/2015,Ottawa Senators,1,Washington Capitals,2,,18506,147
12/17/2015,Columbus Blue Jackets,7,Arizona Coyotes,5,,11120,152
12/17/2015,Anaheim Ducks,0,Buffalo Sabres,3,,18801,151
12/17/2015,Edmonton Oilers,0,Chicago Blackhawks,4,,21451,145
12/17/2015,New York Islanders,1,Colorado Avalanche,2,,15811,143
12/17/2015,Calgary Flames,3,Dallas Stars,1,,18410,145
12/17/2015,New York Rangers,2,Minnesota Wild,5,,19090,147
12/17/2015,Los Angeles Kings,3,Montreal Canadiens,0,,21288,149
12/17/2015,Florida Panthers,5,New Jersey Devils,1,,12512,141
12/17/2015,Vancouver Canucks,0,Philadelphia Flyers,2,,17943,153
12/17/2015,Nashville Predators,1,St. Louis Blues,2,,17882,146
12/17/2015,San Jose Sharks,5,Toronto Maple Leafs,4,OT,18966,161
12/18/2015,Florida Panthers,2,Carolina Hurricanes,0,,10511,144
12/18/2015,Vancouver Canucks,4,Detroit Red Wings,3,SO,20027,164
12/18/2015,San Jose Sharks,2,Ottawa Senators,4,,17990,154
12/18/2015,Boston Bruins,6,Pittsburgh Penguins,2,,18585,154
12/18/2015,New York Rangers,2,Winnipeg Jets,5,,15294,145
12/18/2015,Tampa Bay Lightning,3,Washington Capitals,5,,18506,145
12/19/2015,New York Islanders,0,Arizona Coyotes,1,,11878,143
12/19/2015,Chicago Blackhawks,3,Buffalo Sabres,2,SO,18870,158
12/19/2015,Philadelphia Flyers,2,Columbus Blue Jackets,3,SO,14030,164
12/19/2015,Edmonton Oilers,1,Colorado Avalanche,5,,17570,144
12/19/2015,Montreal Canadiens,2,Dallas Stars,6,,18532,155
12/19/2015,Anaheim Ducks,2,New Jersey Devils,1,,16514,140
12/19/2015,Minnesota Wild,2,Nashville Predators,3,,17117,146
12/19/2015,Carolina Hurricanes,2,Pittsburgh Penguins,1,,18590,137
12/19/2015,Calgary Flames,2,St. Louis Blues,3,,18163,153
12/19/2015,Los Angeles Kings,0,Toronto Maple Leafs,5,,19362,148
12/20/2015,New Jersey Devils,1,Boston Bruins,2,SO,17565,163
12/20/2015,San Jose Sharks,3,Chicago Blackhawks,4,OT,22096,161
12/20/2015,Calgary Flames,2,Detroit Red Wings,4,,20027,145
12/20/2015,Vancouver Canucks,4,Florida Panthers,5,SO,13459,271
12/20/2015,Washington Capitals,7,New York Rangers,3,,18006,151
12/20/2015,Ottawa Senators,2,Tampa Bay Lightning,5,,19092,152
12/21/2015,Washington Capitals,2,Carolina Hurricanes,1,,13228,137
12/21/2015,Toronto Maple Leafs,7,Colorado Avalanche,4,,16084,155
12/21/2015,Winnipeg Jets,1,Edmonton Oilers,3,,16839,157
12/21/2015,Dallas Stars,6,Minnesota Wild,3,,19047,161
12/21/2015,Montreal Canadiens,1,Nashville Predators,5,,17113,152
12/21/2015,Anaheim Ducks,2,New York Islanders,5,,13578,146
12/21/2015,St. Louis Blues,3,Philadelphia Flyers,4,,19676,151
12/21/2015,Columbus Blue Jackets,2,Pittsburgh Penguins,5,,18602,155
12/22/2015,Toronto Maple Leafs,2,Arizona Coyotes,3,,12234,159
12/22/2015,St. Louis Blues,2,Boston Bruins,0,,17565,146
12/22/2015,Winnipeg Jets,1,Calgary Flames,4,,19289,155
12/22/2015,Chicago Blackhawks,0,Dallas Stars,4,,18532,146
12/22/2015,New Jersey Devils,4,Detroit Red Wings,3,,20027,152
12/22/2015,Ottawa Senators,1,Florida Panthers,2,SO,14538,161
12/22/2015,San Jose Sharks,5,Los Angeles Kings,3,,18493,153
12/22/2015,Montreal Canadiens,1,Minnesota Wild,2,,19105,151
12/22/2015,Anaheim Ducks,2,New York Rangers,3,OT,18006,158
12/22/2015,Vancouver Canucks,2,Tampa Bay Lightning,1,,19092,150
12/26/2015,Los Angeles Kings,4,Arizona Coyotes,3,OT,15277,156
12/26/2015,Buffalo Sabres,6,Boston Bruins,3,,17565,147
12/26/2015,New Jersey Devils,1,Carolina Hurricanes,3,,11654,135
12/26/2015,Pittsburgh Penguins,3,Minnesota Wild,1,,19234,150
12/26/2015,Detroit Red Wings,3,Nashville Predators,2,,17208,146
12/26/2015,Dallas Stars,2,St. Louis Blues,3,SO,19185,171
12/26/2015,Columbus Blue Jackets,2,Tampa Bay Lightning,5,,19092,158
12/26/2015,Edmonton Oilers,1,Vancouver Canucks,2,OT,18570,154
12/26/2015,Montreal Canadiens,1,Washington Capitals,3,,18506,151
12/27/2015,Philadelphia Flyers,2,Anaheim Ducks,4,,17322,149
12/27/2015,Edmonton Oilers,3,Calgary Flames,5,,19289,146
12/27/2015,Carolina Hurricanes,2,Chicago Blackhawks,1,,22157,142
12/27/2015,Arizona Coyotes,2,Colorado Avalanche,1,OT,18064,161
12/27/2015,St. Louis Blues,0,Dallas Stars,3,,18532,158
12/27/2015,Columbus Blue Jackets,2,Florida Panthers,3,,16902,147
12/27/2015,Toronto Maple Leafs,3,New York Islanders,1,,15795,140
12/27/2015,Boston Bruins,1,Ottawa Senators,3,,20061,145
12/27/2015,Pittsburgh Penguins,0,Winnipeg Jets,1,,15294,140
12/28/2015,Washington Capitals,2,Buffalo Sabres,0,,19070,150
12/28/2015,Detroit Red Wings,1,Minnesota Wild,3,,19110,145
12/28/2015,New York Rangers,3,Nashville Predators,5,,17317,153
12/28/2015,Colorado Avalanche,6,San Jose Sharks,3,,17562,143
12/28/2015,Montreal Canadiens,4,Tampa Bay Lightning,3,SO,19092,180
12/28/2015,Los Angeles Kings,5,Vancouver Canucks,0,,18570,149
12/29/2015,Chicago Blackhawks,7,Arizona Coyotes,5,,17197,163
12/29/2015,Ottawa Senators,3,Boston Bruins,7,,17565,167
12/29/2015,Dallas Stars,3,Columbus Blue Jackets,6,,15836,158
12/29/2015,Anaheim Ducks,1,Calgary Flames,0,,19289,138
12/29/2015,Los Angeles Kings,5,Edmonton Oilers,2,,16839,150
12/29/2015,Montreal Canadiens,1,Florida Panthers,3,,19822,149
12/29/2015,Carolina Hurricanes,2,New Jersey Devils,3,,16514,145
12/29/2015,Nashville Predators,3,St. Louis Blues,4,OT,19319,163
12/29/2015,New York Islanders,6,Toronto Maple Leafs,3,,19899,152
12/29/2015,Detroit Red Wings,1,Winnipeg Jets,4,,15294,142
12/30/2015,New Jersey Devils,3,Ottawa Senators,0,,19825,135
12/30/2015,Toronto Maple Leafs,3,Pittsburgh Penguins,2,SO,18662,167
12/30/2015,Philadelphia Flyers,2,San Jose Sharks,4,,17562,152
12/30/2015,New York Rangers,5,Tampa Bay Lightning,2,,19092,151
12/30/2015,Buffalo Sabres,2,Washington Capitals,5,,18506,158
12/31/2015,Winnipeg Jets,2,Arizona Coyotes,4,,14027,154
12/31/2015,New York Islanders,2,Buffalo Sabres,1,,19070,147
12/31/2015,Washington Capitals,2,Carolina Hurricanes,4,,14134,146
12/31/2015,Los Angeles Kings,4,Calgary Flames,1,,19289,145
12/31/2015,Chicago Blackhawks,4,Colorado Avalanche,3,OT,18048,149
12/31/2015,Nashville Predators,1,Dallas Stars,5,,18532,152
12/31/2015,Pittsburgh Penguins,5,Detroit Red Wings,2,,20027,158
12/31/2015,Anaheim Ducks,1,Edmonton Oilers,0,,16839,146
12/31/2015,Minnesota Wild,3,St. Louis Blues,1,,19194,140
1/1/2016,Montreal Canadiens,5,Boston Bruins,1,,32767,172
1/1/2016,Anaheim Ducks,1,Vancouver Canucks,2,SO,18570,150
1/2/2016,Detroit Red Wings,4,Buffalo Sabres,3,,19070,148
1/2/2016,Nashville Predators,2,Carolina Hurricanes,1,OT,12149,156
1/2/2016,Washington Capitals,4,Columbus Blue Jackets,5,SO,17170,168
1/2/2016,Calgary Flames,4,Colorado Avalanche,0,,18087,146
1/2/2016,Arizona Coyotes,3,Edmonton Oilers,4,SO,16839,167
1/2/2016,New York Rangers,0,Florida Panthers,3,,20289,145
1/2/2016,Philadelphia Flyers,1,Los Angeles Kings,2,,18230,153
1/2/2016,Dallas Stars,2,New Jersey Devils,3,OT,16514,151
1/2/2016,New York Islanders,2,Pittsburgh Penguins,5,,18665,148
1/2/2016,Winnipeg Jets,4,San Jose Sharks,1,,17562,146
1/2/2016,Minnesota Wild,2,Tampa Bay Lightning,3,SO,19092,165
1/2/2016,St. Louis Blues,1,Toronto Maple Leafs,4,,19221,157
1/3/2016,Winnipeg Jets,1,Anaheim Ducks,4,,17174,148
1/3/2016,Ottawa Senators,0,Chicago Blackhawks,3,,22016,141
1/3/2016,Minnesota Wild,1,Florida Panthers,2,,15426,153
1/3/2016,Dallas Stars,5,New York Islanders,6,,14054,156
1/4/2016,Los Angeles Kings,1,Colorado Avalanche,4,,15202,150
1/4/2016,Carolina Hurricanes,0,Edmonton Oilers,1,OT,16839,144
1/4/2016,Detroit Red Wings,1,New Jersey Devils,0,,15547,137
1/4/2016,Ottawa Senators,3,St. Louis Blues,2,OT,19152,159
1/4/2016,Arizona Coyotes,3,Vancouver Canucks,2,,18377,156
1/5/2016,Washington Capitals,3,Boston Bruins,2,,17565,146
1/5/2016,Florida Panthers,5,Buffalo Sabres,1,,18560,147
1/5/2016,Minnesota Wild,4,Columbus Blue Jackets,2,,12411,149
1/5/2016,Tampa Bay Lightning,1,Calgary Flames,3,,18966,141
1/5/2016,Winnipeg Jets,4,Nashville Predators,1,,17113,145
1/5/2016,Dallas Stars,2,New York Rangers,6,,18006,144
1/5/2016,Montreal Canadiens,3,Philadelphia Flyers,4,,19163,157
1/5/2016,Chicago Blackhawks,3,Pittsburgh Penguins,2,OT,18658,148
1/6/2016,Toronto Maple Leafs,4,Anaheim Ducks,0,,16283,155
1/6/2016,Pittsburgh Penguins,1,Chicago Blackhawks,3,,21908,147
1/6/2016,St. Louis Blues,3,Colorado Avalanche,4,OT,13359,154
1/6/2016,New Jersey Devils,1,Montreal Canadiens,2,,21288,150
1/6/2016,Carolina Hurricanes,2,Vancouver Canucks,3,,18364,143
1/7/2016,Arizona Coyotes,2,Calgary Flames,1,,19272,147
1/7/2016,Winnipeg Jets,1,Dallas Stars,2,SO,18532,162
1/7/2016,Toronto Maple Leafs,1,Los Angeles Kings,2,,18230,155
1/7/2016,Philadelphia Flyers,4,Minnesota Wild,3,OT,19125,154
1/7/2016,Washington Capitals,4,New York Islanders,1,,14261,142
1/7/2016,Florida Panthers,3,Ottawa Senators,2,,17150,145
1/7/2016,Detroit Red Wings,2,San Jose Sharks,1,,16856,149
1/8/2016,St. Louis Blues,3,Anaheim Ducks,4,SO,16250,175
